t_delta,datetime,visibility
0,2024-02-28 14:33:34.707 MEZ(+0100),13.453794479370117
1000,2024-02-28 14:33:35.707 MEZ(+0100),13.549816131591797
2001,2024-02-28 14:33:36.708 MEZ(+0100),13.559484481811523
3002,2024-02-28 14:33:37.709 MEZ(+0100),13.562058448791504
4002,2024-02-28 14:33:38.709 MEZ(+0100),13.565034866333008
5002,2024-02-28 14:33:39.709 MEZ(+0100),13.560712814331055
6002,2024-02-28 14:33:40.709 MEZ(+0100),13.560581207275391
7003,2024-02-28 14:33:41.710 MEZ(+0100),13.56057071685791
8003,2024-02-28 14:33:42.710 MEZ(+0100),13.73206615447998
9003,2024-02-28 14:33:43.710 MEZ(+0100),13.216349601745605
10003,2024-02-28 14:33:44.710 MEZ(+0100),12.874851226806641
11003,2024-02-28 14:33:45.710 MEZ(+0100),12.88636589050293
12003,2024-02-28 14:33:46.710 MEZ(+0100),13.35590934753418
13003,2024-02-28 14:33:47.710 MEZ(+0100),13.400708198547363
14004,2024-02-28 14:33:48.711 MEZ(+0100),12.951460838317871
15004,2024-02-28 14:33:49.711 MEZ(+0100),13.166638374328613
16004,2024-02-28 14:33:50.711 MEZ(+0100),13.237531661987305
17005,2024-02-28 14:33:51.712 MEZ(+0100),13.244660377502441
18005,2024-02-28 14:33:52.712 MEZ(+0100),13.127307891845703
19005,2024-02-28 14:33:53.712 MEZ(+0100),13.094057083129883
20005,2024-02-28 14:33:54.712 MEZ(+0100),13.090741157531738
21005,2024-02-28 14:33:55.712 MEZ(+0100),12.80936336517334
22006,2024-02-28 14:33:56.713 MEZ(+0100),12.666435241699219
23006,2024-02-28 14:33:57.713 MEZ(+0100),12.666435241699219
24006,2024-02-28 14:33:58.713 MEZ(+0100),12.292753219604492
25006,2024-02-28 14:33:59.713 MEZ(+0100),12.240973472595215
26006,2024-02-28 14:34:00.713 MEZ(+0100),12.248112678527832
27007,2024-02-28 14:34:01.714 MEZ(+0100),11.842914581298828
28007,2024-02-28 14:34:02.714 MEZ(+0100),11.647365570068359
29008,2024-02-28 14:34:03.715 MEZ(+0100),11.628176689147949
30008,2024-02-28 14:34:04.715 MEZ(+0100),11.626111030578613
31008,2024-02-28 14:34:05.715 MEZ(+0100),11.622793197631836
32009,2024-02-28 14:34:06.716 MEZ(+0100),11.621431350708008
33010,2024-02-28 14:34:07.717 MEZ(+0100),11.408956527709961
34011,2024-02-28 14:34:08.718 MEZ(+0100),11.17039966583252
35011,2024-02-28 14:34:09.718 MEZ(+0100),11.026726722717285
36011,2024-02-28 14:34:10.718 MEZ(+0100),10.833329200744629
37011,2024-02-28 14:34:11.718 MEZ(+0100),10.697254180908203
38012,2024-02-28 14:34:12.719 MEZ(+0100),10.537375450134277
39014,2024-02-28 14:34:13.721 MEZ(+0100),10.091497421264648
40014,2024-02-28 14:34:14.721 MEZ(+0100),10.049013137817383
41014,2024-02-28 14:34:15.721 MEZ(+0100),10.044787406921387
