t_delta,datetime,visibility
0,2024-02-28 10:40:53.203 MEZ(+0100),5495.48388671875
1000,2024-02-28 10:40:54.203 MEZ(+0100),4551.5419921875
2001,2024-02-28 10:40:55.204 MEZ(+0100),3955.286376953125
3001,2024-02-28 10:40:56.204 MEZ(+0100),3370.80615234375
4001,2024-02-28 10:40:57.204 MEZ(+0100),2887.413818359375
5001,2024-02-28 10:40:58.204 MEZ(+0100),2602.759765625
6001,2024-02-28 10:40:59.204 MEZ(+0100),2371.650146484375
7002,2024-02-28 10:41:00.205 MEZ(+0100),2237.13232421875
8002,2024-02-28 10:41:01.205 MEZ(+0100),2073.708984375
9002,2024-02-28 10:41:02.205 MEZ(+0100),1891.052490234375
10002,2024-02-28 10:41:03.205 MEZ(+0100),1751.517578125
11002,2024-02-28 10:41:04.205 MEZ(+0100),1670.09814453125
12002,2024-02-28 10:41:05.205 MEZ(+0100),1670.09814453125
13002,2024-02-28 10:41:06.205 MEZ(+0100),1400.64697265625
14002,2024-02-28 10:41:07.205 MEZ(+0100),1169.660400390625
15003,2024-02-28 10:41:08.206 MEZ(+0100),1053.8323974609375
16003,2024-02-28 10:41:09.206 MEZ(+0100),1001.6674194335938
17004,2024-02-28 10:41:10.207 MEZ(+0100),880.88983154296875
18004,2024-02-28 10:41:11.207 MEZ(+0100),778.09619140625
19005,2024-02-28 10:41:12.208 MEZ(+0100),735.6490478515625
20005,2024-02-28 10:41:13.208 MEZ(+0100),704.869140625
21005,2024-02-28 10:41:14.208 MEZ(+0100),690.0225830078125
22005,2024-02-28 10:41:15.208 MEZ(+0100),675.47076416015625
23006,2024-02-28 10:41:16.209 MEZ(+0100),660.410888671875
24006,2024-02-28 10:41:17.209 MEZ(+0100),672.054931640625
25009,2024-02-28 10:41:18.212 MEZ(+0100),674.69366455078125
26009,2024-02-28 10:41:19.212 MEZ(+0100),672.37542724609375
27010,2024-02-28 10:41:20.213 MEZ(+0100),669.023681640625
28010,2024-02-28 10:41:21.213 MEZ(+0100),667.88726806640625
29010,2024-02-28 10:41:22.213 MEZ(+0100),670.832275390625
30011,2024-02-28 10:41:23.214 MEZ(+0100),675.10003662109375
31011,2024-02-28 10:41:24.214 MEZ(+0100),676.410400390625
32012,2024-02-28 10:41:25.215 MEZ(+0100),701.6004638671875
33013,2024-02-28 10:41:26.216 MEZ(+0100),729.61273193359375
34014,2024-02-28 10:41:27.217 MEZ(+0100),721.88323974609375
35015,2024-02-28 10:41:28.218 MEZ(+0100),689.7421875
36015,2024-02-28 10:41:29.218 MEZ(+0100),680.50982666015625
37016,2024-02-28 10:41:30.219 MEZ(+0100),645.80267333984375
38016,2024-02-28 10:41:31.219 MEZ(+0100),631.6512451171875
39016,2024-02-28 10:41:32.219 MEZ(+0100),612.5267333984375
40016,2024-02-28 10:41:33.219 MEZ(+0100),588.12432861328125
41016,2024-02-28 10:41:34.219 MEZ(+0100),549.156494140625
42016,2024-02-28 10:41:35.219 MEZ(+0100),360.94442749023438
43017,2024-02-28 10:41:36.220 MEZ(+0100),313.99606323242188
44017,2024-02-28 10:41:37.220 MEZ(+0100),309.97430419921875
45017,2024-02-28 10:41:38.220 MEZ(+0100),299.92141723632812
46017,2024-02-28 10:41:39.220 MEZ(+0100),263.2879638671875
47017,2024-02-28 10:41:40.220 MEZ(+0100),252.86961364746094
48017,2024-02-28 10:41:41.220 MEZ(+0100),289.26174926757812
49017,2024-02-28 10:41:42.220 MEZ(+0100),311.77975463867188
50017,2024-02-28 10:41:43.220 MEZ(+0100),312.70578002929688
51017,2024-02-28 10:41:44.220 MEZ(+0100),353.39779663085938
52018,2024-02-28 10:41:45.221 MEZ(+0100),382.05841064453125
53018,2024-02-28 10:41:46.221 MEZ(+0100),372.65472412109375
54018,2024-02-28 10:41:47.221 MEZ(+0100),363.52224731445312
55019,2024-02-28 10:41:48.222 MEZ(+0100),341.74728393554688
56019,2024-02-28 10:41:49.222 MEZ(+0100),341.74728393554688
57019,2024-02-28 10:41:50.222 MEZ(+0100),357.3450927734375
58019,2024-02-28 10:41:51.222 MEZ(+0100),365.89874267578125
59019,2024-02-28 10:41:52.222 MEZ(+0100),363.59649658203125
60019,2024-02-28 10:41:53.222 MEZ(+0100),322.00125122070312
61019,2024-02-28 10:41:54.222 MEZ(+0100),310.00332641601562
62020,2024-02-28 10:41:55.223 MEZ(+0100),305.041748046875
63020,2024-02-28 10:41:56.223 MEZ(+0100),219.50608825683594
64020,2024-02-28 10:41:57.223 MEZ(+0100),200.105712890625
65020,2024-02-28 10:41:58.223 MEZ(+0100),172.10955810546875
66020,2024-02-28 10:41:59.223 MEZ(+0100),166.78364562988281
67020,2024-02-28 10:42:00.223 MEZ(+0100),166.26942443847656
68020,2024-02-28 10:42:01.223 MEZ(+0100),166.21427917480469
69020,2024-02-28 10:42:02.223 MEZ(+0100),179.17311096191406
70021,2024-02-28 10:42:03.224 MEZ(+0100),220.31092834472656
71021,2024-02-28 10:42:04.224 MEZ(+0100),242.90200805664062
72022,2024-02-28 10:42:05.225 MEZ(+0100),245.42308044433594
73022,2024-02-28 10:42:06.225 MEZ(+0100),245.67822265625
74022,2024-02-28 10:42:07.225 MEZ(+0100),245.70372009277344
75022,2024-02-28 10:42:08.225 MEZ(+0100),245.70643615722656
76022,2024-02-28 10:42:09.225 MEZ(+0100),93.808570861816406
77022,2024-02-28 10:42:10.225 MEZ(+0100),71.992263793945312
78023,2024-02-28 10:42:11.226 MEZ(+0100),62.729267120361328
79023,2024-02-28 10:42:12.226 MEZ(+0100),59.271282196044922
80023,2024-02-28 10:42:13.226 MEZ(+0100),58.632038116455078
81024,2024-02-28 10:42:14.227 MEZ(+0100),58.568874359130859
82024,2024-02-28 10:42:15.227 MEZ(+0100),60.466457366943359
83024,2024-02-28 10:42:16.227 MEZ(+0100),64.589012145996094
84024,2024-02-28 10:42:17.227 MEZ(+0100),65.032928466796875
85025,2024-02-28 10:42:18.228 MEZ(+0100),64.838554382324219
86025,2024-02-28 10:42:19.228 MEZ(+0100),64.743965148925781
87025,2024-02-28 10:42:20.228 MEZ(+0100),64.972900390625
88025,2024-02-28 10:42:21.228 MEZ(+0100),67.100677490234375
89026,2024-02-28 10:42:22.229 MEZ(+0100),67.873390197753906
90026,2024-02-28 10:42:23.229 MEZ(+0100),68.105491638183594
91027,2024-02-28 10:42:24.230 MEZ(+0100),67.581947326660156
92028,2024-02-28 10:42:25.231 MEZ(+0100),65.44268798828125
93029,2024-02-28 10:42:26.232 MEZ(+0100),62.020557403564453
94029,2024-02-28 10:42:27.232 MEZ(+0100),61.698215484619141
95029,2024-02-28 10:42:28.232 MEZ(+0100),51.853889465332031
96030,2024-02-28 10:42:29.233 MEZ(+0100),47.302680969238281
97030,2024-02-28 10:42:30.233 MEZ(+0100),45.528858184814453
98030,2024-02-28 10:42:31.233 MEZ(+0100),45.528858184814453
99031,2024-02-28 10:42:32.234 MEZ(+0100),40.35321044921875
100031,2024-02-28 10:42:33.234 MEZ(+0100),39.900615692138672
101031,2024-02-28 10:42:34.234 MEZ(+0100),39.646484375
102031,2024-02-28 10:42:35.234 MEZ(+0100),39.621280670166016
103031,2024-02-28 10:42:36.234 MEZ(+0100),39.589084625244141
104031,2024-02-28 10:42:37.234 MEZ(+0100),39.206417083740234
105031,2024-02-28 10:42:38.234 MEZ(+0100),38.894752502441406
106031,2024-02-28 10:42:39.234 MEZ(+0100),38.814983367919922
107031,2024-02-28 10:42:40.234 MEZ(+0100),37.862293243408203
108032,2024-02-28 10:42:41.235 MEZ(+0100),38.863666534423828
109032,2024-02-28 10:42:42.235 MEZ(+0100),38.860767364501953
110032,2024-02-28 10:42:43.235 MEZ(+0100),37.577484130859375
111032,2024-02-28 10:42:44.235 MEZ(+0100),36.457675933837891
112032,2024-02-28 10:42:45.235 MEZ(+0100),35.712448120117188
113032,2024-02-28 10:42:46.235 MEZ(+0100),35.258026123046875
114032,2024-02-28 10:42:47.235 MEZ(+0100),35.593849182128906
115032,2024-02-28 10:42:48.235 MEZ(+0100),35.716350555419922
116033,2024-02-28 10:42:49.236 MEZ(+0100),36.269866943359375
117033,2024-02-28 10:42:50.236 MEZ(+0100),36.427944183349609
118034,2024-02-28 10:42:51.237 MEZ(+0100),36.474720001220703
119034,2024-02-28 10:42:52.237 MEZ(+0100),37.409603118896484
120034,2024-02-28 10:42:53.237 MEZ(+0100),36.888137817382812
121034,2024-02-28 10:42:54.237 MEZ(+0100),37.837215423583984
122035,2024-02-28 10:42:55.238 MEZ(+0100),40.717521667480469
123035,2024-02-28 10:42:56.238 MEZ(+0100),41.122238159179688
124035,2024-02-28 10:42:57.238 MEZ(+0100),41.093116760253906
125035,2024-02-28 10:42:58.238 MEZ(+0100),41.068088531494141
126035,2024-02-28 10:42:59.238 MEZ(+0100),41.065628051757812
127036,2024-02-28 10:43:00.239 MEZ(+0100),37.206348419189453
128036,2024-02-28 10:43:01.239 MEZ(+0100),33.383586883544922
129036,2024-02-28 10:43:02.239 MEZ(+0100),32.553073883056641
130036,2024-02-28 10:43:03.239 MEZ(+0100),32.227504730224609
131036,2024-02-28 10:43:04.239 MEZ(+0100),31.648899078369141
132036,2024-02-28 10:43:05.239 MEZ(+0100),30.140802383422852
133036,2024-02-28 10:43:06.239 MEZ(+0100),29.324853897094727
134036,2024-02-28 10:43:07.239 MEZ(+0100),28.989175796508789
135036,2024-02-28 10:43:08.239 MEZ(+0100),27.808757781982422
136037,2024-02-28 10:43:09.240 MEZ(+0100),26.840456008911133
137037,2024-02-28 10:43:10.240 MEZ(+0100),27.451381683349609
138037,2024-02-28 10:43:11.240 MEZ(+0100),27.514032363891602
139037,2024-02-28 10:43:12.240 MEZ(+0100),25.979131698608398
140037,2024-02-28 10:43:13.240 MEZ(+0100),23.078914642333984
141037,2024-02-28 10:43:14.240 MEZ(+0100),21.664896011352539
142038,2024-02-28 10:43:15.241 MEZ(+0100),21.060186386108398
143038,2024-02-28 10:43:16.241 MEZ(+0100),21.882219314575195
144038,2024-02-28 10:43:17.241 MEZ(+0100),22.912097930908203
145038,2024-02-28 10:43:18.241 MEZ(+0100),23.336677551269531
146038,2024-02-28 10:43:19.241 MEZ(+0100),24.444839477539062
147038,2024-02-28 10:43:20.241 MEZ(+0100),24.444839477539062
