t_delta,datetime,visibility
88025,2024-05-29 10:50:39.445 MESZ(+0200),9.4375925064086914
89026,2024-05-29 10:50:40.446 MESZ(+0200),9.4299459457397461
90026,2024-05-29 10:50:41.446 MESZ(+0200),9.4291830062866211
91026,2024-05-29 10:50:42.446 MESZ(+0200),9.429107666015625
92027,2024-05-29 10:50:43.447 MESZ(+0200),9.3679628372192383
93027,2024-05-29 10:50:44.447 MESZ(+0200),9.4082126617431641
94028,2024-05-29 10:50:45.448 MESZ(+0200),9.3813142776489258
95028,2024-05-29 10:50:46.448 MESZ(+0200),9.4121274948120117
96028,2024-05-29 10:50:47.448 MESZ(+0200),9.430811882019043
97028,2024-05-29 10:50:48.448 MESZ(+0200),9.3435525894165039
98028,2024-05-29 10:50:49.448 MESZ(+0200),9.4004602432250977
99028,2024-05-29 10:50:50.448 MESZ(+0200),9.4296331405639648
100028,2024-05-29 10:50:51.448 MESZ(+0200),9.4421806335449219
101028,2024-05-29 10:50:52.448 MESZ(+0200),9.4543905258178711
102029,2024-05-29 10:50:53.449 MESZ(+0200),9.5366344451904297
103029,2024-05-29 10:50:54.449 MESZ(+0200),9.7166776657104492
104029,2024-05-29 10:50:55.449 MESZ(+0200),9.8113861083984375
105029,2024-05-29 10:50:56.449 MESZ(+0200),9.8736724853515625
106029,2024-05-29 10:50:57.449 MESZ(+0200),9.8799543380737305
107030,2024-05-29 10:50:58.450 MESZ(+0200),10.11362361907959
108030,2024-05-29 10:50:59.450 MESZ(+0200),10.348176956176758
109031,2024-05-29 10:51:00.451 MESZ(+0200),10.38178825378418
110031,2024-05-29 10:51:01.451 MESZ(+0200),10.375615119934082
111031,2024-05-29 10:51:02.451 MESZ(+0200),10.375000953674316
112031,2024-05-29 10:51:03.451 MESZ(+0200),9.9664096832275391
113031,2024-05-29 10:51:04.451 MESZ(+0200),9.8836336135864258
114032,2024-05-29 10:51:05.452 MESZ(+0200),10.014786720275879
115032,2024-05-29 10:51:06.452 MESZ(+0200),9.6772928237915039
116033,2024-05-29 10:51:07.453 MESZ(+0200),9.5803985595703125
117034,2024-05-29 10:51:08.454 MESZ(+0200),9.8673124313354492
118034,2024-05-29 10:51:09.454 MESZ(+0200),9.5356884002685547
119034,2024-05-29 10:51:10.454 MESZ(+0200),9.3792810440063477
120034,2024-05-29 10:51:11.454 MESZ(+0200),9.3594655990600586
121034,2024-05-29 10:51:12.454 MESZ(+0200),9.4319114685058594
122034,2024-05-29 10:51:13.454 MESZ(+0200),9.5693988800048828
123034,2024-05-29 10:51:14.454 MESZ(+0200),9.4002952575683594
124038,2024-05-29 10:51:15.458 MESZ(+0200),9.322021484375
125038,2024-05-29 10:51:16.458 MESZ(+0200),9.3197393417358398
126039,2024-05-29 10:51:17.459 MESZ(+0200),9.3197393417358398
127039,2024-05-29 10:51:18.459 MESZ(+0200),9.3598508834838867
128039,2024-05-29 10:51:19.459 MESZ(+0200),9.1502037048339844
129039,2024-05-29 10:51:20.459 MESZ(+0200),9.021540641784668
130039,2024-05-29 10:51:21.459 MESZ(+0200),9.1438932418823242
131039,2024-05-29 10:51:22.459 MESZ(+0200),9.4712324142456055
132039,2024-05-29 10:51:23.459 MESZ(+0200),9.5279378890991211
133039,2024-05-29 10:51:24.459 MESZ(+0200),9.5193490982055664
134039,2024-05-29 10:51:25.459 MESZ(+0200),9.5211343765258789
135039,2024-05-29 10:51:26.459 MESZ(+0200),9.2753477096557617
136040,2024-05-29 10:51:27.460 MESZ(+0200),9.4099750518798828
137040,2024-05-29 10:51:28.460 MESZ(+0200),9.2646808624267578
138040,2024-05-29 10:51:29.460 MESZ(+0200),9.1789350509643555
139040,2024-05-29 10:51:30.460 MESZ(+0200),9.4081392288208008
140040,2024-05-29 10:51:31.460 MESZ(+0200),9.5098896026611328
141041,2024-05-29 10:51:32.461 MESZ(+0200),9.4646110534667969
142041,2024-05-29 10:51:33.461 MESZ(+0200),9.2557363510131836
143041,2024-05-29 10:51:34.461 MESZ(+0200),9.1428966522216797
144041,2024-05-29 10:51:35.461 MESZ(+0200),9.0054740905761719
145042,2024-05-29 10:51:36.462 MESZ(+0200),9.3622846603393555
146043,2024-05-29 10:51:37.463 MESZ(+0200),9.3557596206665039
147043,2024-05-29 10:51:38.463 MESZ(+0200),9.331141471862793
148043,2024-05-29 10:51:39.463 MESZ(+0200),9.6113901138305664
149043,2024-05-29 10:51:40.463 MESZ(+0200),9.7299747467041016
150043,2024-05-29 10:51:41.463 MESZ(+0200),9.7475614547729492
