t_delta,datetime,visibility
0,2024-05-29 09:50:59.425 MESZ(+0200),8.2827548980712891
1001,2024-05-29 09:51:00.426 MESZ(+0200),8.2648944854736328
2002,2024-05-29 09:51:01.427 MESZ(+0200),8.2631072998046875
3002,2024-05-29 09:51:02.427 MESZ(+0200),8.2629213333129883
4002,2024-05-29 09:51:03.427 MESZ(+0200),8.2848920822143555
5002,2024-05-29 09:51:04.427 MESZ(+0200),8.2848920822143555
6002,2024-05-29 09:51:05.427 MESZ(+0200),8.298701286315918
7003,2024-05-29 09:51:06.428 MESZ(+0200),8.2295255661010742
8004,2024-05-29 09:51:07.429 MESZ(+0200),8.1995201110839844
9004,2024-05-29 09:51:08.429 MESZ(+0200),8.1965227127075195
10004,2024-05-29 09:51:09.429 MESZ(+0200),8.1962251663208008
11004,2024-05-29 09:51:10.429 MESZ(+0200),8.2870664596557617
12004,2024-05-29 09:51:11.429 MESZ(+0200),8.2275705337524414
13004,2024-05-29 09:51:12.429 MESZ(+0200),8.144099235534668
14004,2024-05-29 09:51:13.429 MESZ(+0200),8.0070943832397461
15005,2024-05-29 09:51:14.430 MESZ(+0200),7.9254951477050781
16005,2024-05-29 09:51:15.430 MESZ(+0200),7.8204312324523926
17005,2024-05-29 09:51:16.430 MESZ(+0200),7.6750755310058594
18005,2024-05-29 09:51:17.430 MESZ(+0200),7.6445856094360352
19005,2024-05-29 09:51:18.430 MESZ(+0200),7.6415491104125977
20005,2024-05-29 09:51:19.430 MESZ(+0200),7.641242504119873
21005,2024-05-29 09:51:20.430 MESZ(+0200),7.6412172317504883
22006,2024-05-29 09:51:21.431 MESZ(+0200),7.641211986541748
23006,2024-05-29 09:51:22.431 MESZ(+0200),7.8927030563354492
24006,2024-05-29 09:51:23.431 MESZ(+0200),8.0279455184936523
25006,2024-05-29 09:51:24.431 MESZ(+0200),8.0863027572631836
26006,2024-05-29 09:51:25.431 MESZ(+0200),8.1269063949584961
27006,2024-05-29 09:51:26.431 MESZ(+0200),8.2645654678344727
28006,2024-05-29 09:51:27.431 MESZ(+0200),8.8060321807861328
29007,2024-05-29 09:51:28.432 MESZ(+0200),8.9993019104003906
30007,2024-05-29 09:51:29.432 MESZ(+0200),9.3116350173950195
31008,2024-05-29 09:51:30.433 MESZ(+0200),9.6891517639160156
32008,2024-05-29 09:51:31.433 MESZ(+0200),9.9381637573242188
33009,2024-05-29 09:51:32.434 MESZ(+0200),10.063983917236328
34009,2024-05-29 09:51:33.434 MESZ(+0200),10.236294746398926
35010,2024-05-29 09:51:34.435 MESZ(+0200),10.468850135803223
36011,2024-05-29 09:51:35.436 MESZ(+0200),10.71005916595459
37011,2024-05-29 09:51:36.436 MESZ(+0200),11.32618236541748
38012,2024-05-29 09:51:37.437 MESZ(+0200),11.463815689086914
39012,2024-05-29 09:51:38.437 MESZ(+0200),11.615439414978027
40012,2024-05-29 09:51:39.437 MESZ(+0200),11.78575325012207
41012,2024-05-29 09:51:40.437 MESZ(+0200),12.146835327148438
42012,2024-05-29 09:51:41.437 MESZ(+0200),12.253183364868164
43013,2024-05-29 09:51:42.438 MESZ(+0200),12.50544548034668
44013,2024-05-29 09:51:43.438 MESZ(+0200),12.68616771697998
45014,2024-05-29 09:51:44.439 MESZ(+0200),12.796116828918457
46014,2024-05-29 09:51:45.439 MESZ(+0200),12.796116828918457
47015,2024-05-29 09:51:46.440 MESZ(+0200),12.807216644287109
48015,2024-05-29 09:51:47.440 MESZ(+0200),12.833650588989258
49015,2024-05-29 09:51:48.440 MESZ(+0200),12.844331741333008
50016,2024-05-29 09:51:49.441 MESZ(+0200),12.845400810241699
51016,2024-05-29 09:51:50.441 MESZ(+0200),13.171977996826172
52016,2024-05-29 09:51:51.441 MESZ(+0200),13.269319534301758
53017,2024-05-29 09:51:52.442 MESZ(+0200),13.537752151489258
54017,2024-05-29 09:51:53.442 MESZ(+0200),13.630002975463867
55017,2024-05-29 09:51:54.442 MESZ(+0200),13.639298439025879
56017,2024-05-29 09:51:55.442 MESZ(+0200),13.797601699829102
57017,2024-05-29 09:51:56.442 MESZ(+0200),14.50312614440918
58017,2024-05-29 09:51:57.442 MESZ(+0200),14.744621276855469
59017,2024-05-29 09:51:58.442 MESZ(+0200),14.965065002441406
60017,2024-05-29 09:51:59.442 MESZ(+0200),14.987484931945801
61017,2024-05-29 09:52:00.442 MESZ(+0200),15.126651763916016
62019,2024-05-29 09:52:01.444 MESZ(+0200),15.502223968505859
63019,2024-05-29 09:52:02.444 MESZ(+0200),15.587138175964355
64019,2024-05-29 09:52:03.444 MESZ(+0200),15.595685958862305
65019,2024-05-29 09:52:04.444 MESZ(+0200),14.482580184936523
66019,2024-05-29 09:52:05.444 MESZ(+0200),15.149510383605957
67019,2024-05-29 09:52:06.444 MESZ(+0200),15.17768383026123
68019,2024-05-29 09:52:07.444 MESZ(+0200),14.635378837585449
69019,2024-05-29 09:52:08.444 MESZ(+0200),14.049944877624512
70019,2024-05-29 09:52:09.444 MESZ(+0200),14.399654388427734
71020,2024-05-29 09:52:10.445 MESZ(+0200),14.633427619934082
72020,2024-05-29 09:52:11.445 MESZ(+0200),14.049771308898926
73020,2024-05-29 09:52:12.445 MESZ(+0200),13.984756469726562
