t_delta,datetime,visibility
0,2024-05-29 11:23:29.121 MESZ(+0200),6.7689104080200195
1001,2024-05-29 11:23:30.122 MESZ(+0200),6.7670259475708008
2001,2024-05-29 11:23:31.122 MESZ(+0200),6.742372989654541
3002,2024-05-29 11:23:32.123 MESZ(+0200),6.6396927833557129
4002,2024-05-29 11:23:33.123 MESZ(+0200),6.6180896759033203
5003,2024-05-29 11:23:34.124 MESZ(+0200),6.615938663482666
6003,2024-05-29 11:23:35.124 MESZ(+0200),6.6157236099243164
7003,2024-05-29 11:23:36.124 MESZ(+0200),6.6157054901123047
8004,2024-05-29 11:23:37.125 MESZ(+0200),6.6576147079467773
9004,2024-05-29 11:23:38.125 MESZ(+0200),6.7625532150268555
10004,2024-05-29 11:23:39.125 MESZ(+0200),6.7340807914733887
11004,2024-05-29 11:23:40.125 MESZ(+0200),6.713315486907959
12004,2024-05-29 11:23:41.125 MESZ(+0200),6.7112469673156738
13004,2024-05-29 11:23:42.125 MESZ(+0200),6.7110400199890137
14004,2024-05-29 11:23:43.125 MESZ(+0200),6.7110214233398438
15005,2024-05-29 11:23:44.126 MESZ(+0200),6.5495686531066895
16005,2024-05-29 11:23:45.126 MESZ(+0200),6.5286760330200195
17006,2024-05-29 11:23:46.127 MESZ(+0200),6.5240631103515625
18006,2024-05-29 11:23:47.127 MESZ(+0200),6.4643239974975586
19006,2024-05-29 11:23:48.127 MESZ(+0200),6.4518718719482422
20007,2024-05-29 11:23:49.128 MESZ(+0200),6.4515056610107422
21007,2024-05-29 11:23:50.128 MESZ(+0200),6.5096898078918457
22007,2024-05-29 11:23:51.128 MESZ(+0200),6.5243945121765137
23007,2024-05-29 11:23:52.128 MESZ(+0200),6.5475764274597168
24007,2024-05-29 11:23:53.128 MESZ(+0200),6.5499048233032227
25008,2024-05-29 11:23:54.129 MESZ(+0200),6.5499048233032227
26008,2024-05-29 11:23:55.129 MESZ(+0200),6.550137996673584
27008,2024-05-29 11:23:56.129 MESZ(+0200),6.5056610107421875
28008,2024-05-29 11:23:57.129 MESZ(+0200),6.5224099159240723
29008,2024-05-29 11:23:58.129 MESZ(+0200),6.5555849075317383
30008,2024-05-29 11:23:59.129 MESZ(+0200),6.5637807846069336
31009,2024-05-29 11:24:00.130 MESZ(+0200),6.562342643737793
32010,2024-05-29 11:24:01.131 MESZ(+0200),6.5716147422790527
33010,2024-05-29 11:24:02.131 MESZ(+0200),6.5725421905517578
34010,2024-05-29 11:24:03.131 MESZ(+0200),6.5861144065856934
35010,2024-05-29 11:24:04.131 MESZ(+0200),6.6650509834289551
36010,2024-05-29 11:24:05.131 MESZ(+0200),6.7229437828063965
37010,2024-05-29 11:24:06.131 MESZ(+0200),6.8060975074768066
38011,2024-05-29 11:24:07.132 MESZ(+0200),6.8991875648498535
39011,2024-05-29 11:24:08.132 MESZ(+0200),6.941098690032959
40011,2024-05-29 11:24:09.132 MESZ(+0200),7.040107250213623
41012,2024-05-29 11:24:10.133 MESZ(+0200),7.1698007583618164
42012,2024-05-29 11:24:11.133 MESZ(+0200),7.2851147651672363
43012,2024-05-29 11:24:12.133 MESZ(+0200),7.3160920143127441
44013,2024-05-29 11:24:13.134 MESZ(+0200),7.3412542343139648
45014,2024-05-29 11:24:14.135 MESZ(+0200),7.3752279281616211
46014,2024-05-29 11:24:15.135 MESZ(+0200),7.4044914245605469
47014,2024-05-29 11:24:16.135 MESZ(+0200),7.4316673278808594
48015,2024-05-29 11:24:17.136 MESZ(+0200),7.447453498840332
49015,2024-05-29 11:24:18.136 MESZ(+0200),7.4808659553527832
50015,2024-05-29 11:24:19.136 MESZ(+0200),7.4887537956237793
51016,2024-05-29 11:24:20.137 MESZ(+0200),7.514195442199707
52016,2024-05-29 11:24:21.137 MESZ(+0200),7.549616813659668
53017,2024-05-29 11:24:22.138 MESZ(+0200),7.6172451972961426
54018,2024-05-29 11:24:23.139 MESZ(+0200),7.6286273002624512
55018,2024-05-29 11:24:24.139 MESZ(+0200),7.6644859313964844
56019,2024-05-29 11:24:25.140 MESZ(+0200),7.6924376487731934
57019,2024-05-29 11:24:26.140 MESZ(+0200),7.6971750259399414
58019,2024-05-29 11:24:27.140 MESZ(+0200),7.7077703475952148
59019,2024-05-29 11:24:28.140 MESZ(+0200),7.7307982444763184
