t_delta,datetime,visibility
0,2024-02-28 11:07:24.487 MEZ(+0100),353.54769897460938
1001,2024-02-28 11:07:25.488 MEZ(+0100),353.73834228515625
2001,2024-02-28 11:07:26.488 MEZ(+0100),353.75750732421875
3002,2024-02-28 11:07:27.489 MEZ(+0100),353.7593994140625
4002,2024-02-28 11:07:28.489 MEZ(+0100),358.04574584960938
5002,2024-02-28 11:07:29.489 MEZ(+0100),366.30068969726562
6003,2024-02-28 11:07:30.490 MEZ(+0100),360.48052978515625
7003,2024-02-28 11:07:31.490 MEZ(+0100),358.9593505859375
8003,2024-02-28 11:07:32.490 MEZ(+0100),359.75656127929688
9003,2024-02-28 11:07:33.490 MEZ(+0100),358.14065551757812
10003,2024-02-28 11:07:34.490 MEZ(+0100),358.48968505859375
11004,2024-02-28 11:07:35.491 MEZ(+0100),358.760986328125
12004,2024-02-28 11:07:36.491 MEZ(+0100),358.55166625976562
13004,2024-02-28 11:07:37.491 MEZ(+0100),353.36721801757812
14004,2024-02-28 11:07:38.491 MEZ(+0100),351.49087524414062
15004,2024-02-28 11:07:39.491 MEZ(+0100),343.35687255859375
16005,2024-02-28 11:07:40.492 MEZ(+0100),341.3489990234375
17005,2024-02-28 11:07:41.492 MEZ(+0100),345.52914428710938
18006,2024-02-28 11:07:42.493 MEZ(+0100),350.08612060546875
19006,2024-02-28 11:07:43.493 MEZ(+0100),350.54864501953125
20006,2024-02-28 11:07:44.493 MEZ(+0100),350.5948486328125
21006,2024-02-28 11:07:45.493 MEZ(+0100),345.67587280273438
22006,2024-02-28 11:07:46.493 MEZ(+0100),340.05279541015625
23006,2024-02-28 11:07:47.493 MEZ(+0100),335.60476684570312
24007,2024-02-28 11:07:48.494 MEZ(+0100),341.68276977539062
25007,2024-02-28 11:07:49.494 MEZ(+0100),352.069580078125
26007,2024-02-28 11:07:50.494 MEZ(+0100),359.34039306640625
27007,2024-02-28 11:07:51.494 MEZ(+0100),360.163818359375
28007,2024-02-28 11:07:52.494 MEZ(+0100),360.24636840820312
29007,2024-02-28 11:07:53.494 MEZ(+0100),360.25457763671875
30007,2024-02-28 11:07:54.494 MEZ(+0100),360.00424194335938
31007,2024-02-28 11:07:55.494 MEZ(+0100),355.0152587890625
32007,2024-02-28 11:07:56.494 MEZ(+0100),352.29666137695312
33008,2024-02-28 11:07:57.495 MEZ(+0100),352.027099609375
34008,2024-02-28 11:07:58.495 MEZ(+0100),345.75320434570312
35009,2024-02-28 11:07:59.496 MEZ(+0100),332.69439697265625
36009,2024-02-28 11:08:00.496 MEZ(+0100),332.69439697265625
