t_delta,datetime,visibility
0,2024-02-28 12:05:33.960 MEZ(+0100),190.76139831542969
1000,2024-02-28 12:05:34.960 MEZ(+0100),190.58737182617188
2000,2024-02-28 12:05:35.960 MEZ(+0100),190.58737182617188
3001,2024-02-28 12:05:36.961 MEZ(+0100),189.66473388671875
4001,2024-02-28 12:05:37.961 MEZ(+0100),188.42900085449219
5002,2024-02-28 12:05:38.962 MEZ(+0100),188.03048706054688
6002,2024-02-28 12:05:39.962 MEZ(+0100),189.27947998046875
7003,2024-02-28 12:05:40.963 MEZ(+0100),189.26937866210938
8004,2024-02-28 12:05:41.964 MEZ(+0100),189.26838684082031
9005,2024-02-28 12:05:42.965 MEZ(+0100),189.40415954589844
10005,2024-02-28 12:05:43.965 MEZ(+0100),189.96330261230469
11005,2024-02-28 12:05:44.965 MEZ(+0100),192.32127380371094
12005,2024-02-28 12:05:45.965 MEZ(+0100),192.83120727539062
13006,2024-02-28 12:05:46.966 MEZ(+0100),192.90467834472656
14006,2024-02-28 12:05:47.966 MEZ(+0100),195.16812133789062
15006,2024-02-28 12:05:48.966 MEZ(+0100),195.39750671386719
16006,2024-02-28 12:05:49.966 MEZ(+0100),195.42039489746094
17007,2024-02-28 12:05:50.967 MEZ(+0100),193.62828063964844
18007,2024-02-28 12:05:51.967 MEZ(+0100),192.82426452636719
19007,2024-02-28 12:05:52.967 MEZ(+0100),192.81114196777344
20008,2024-02-28 12:05:53.968 MEZ(+0100),194.05389404296875
21008,2024-02-28 12:05:54.968 MEZ(+0100),195.28518676757812
22008,2024-02-28 12:05:55.968 MEZ(+0100),195.40910339355469
23008,2024-02-28 12:05:56.968 MEZ(+0100),198.81857299804688
24009,2024-02-28 12:05:57.969 MEZ(+0100),194.80482482910156
25009,2024-02-28 12:05:58.969 MEZ(+0100),193.91189575195312
26009,2024-02-28 12:05:59.969 MEZ(+0100),193.66548156738281
27009,2024-02-28 12:06:00.969 MEZ(+0100),195.30635070800781
28009,2024-02-28 12:06:01.969 MEZ(+0100),195.79345703125
29010,2024-02-28 12:06:02.970 MEZ(+0100),194.82875061035156
30010,2024-02-28 12:06:03.970 MEZ(+0100),191.89668273925781
31010,2024-02-28 12:06:04.970 MEZ(+0100),190.35952758789062
32010,2024-02-28 12:06:05.970 MEZ(+0100),182.61729431152344
33010,2024-02-28 12:06:06.970 MEZ(+0100),149.9102783203125
34010,2024-02-28 12:06:07.970 MEZ(+0100),30.301246643066406
35010,2024-02-28 12:06:08.970 MEZ(+0100),26.081792831420898
36011,2024-02-28 12:06:09.971 MEZ(+0100),25.155601501464844
37011,2024-02-28 12:06:10.971 MEZ(+0100),24.764104843139648
38011,2024-02-28 12:06:11.971 MEZ(+0100),23.405351638793945
39011,2024-02-28 12:06:12.971 MEZ(+0100),22.986873626708984
40011,2024-02-28 12:06:13.971 MEZ(+0100),22.932918548583984
41012,2024-02-28 12:06:14.972 MEZ(+0100),22.921966552734375
42012,2024-02-28 12:06:15.972 MEZ(+0100),22.919109344482422
43012,2024-02-28 12:06:16.972 MEZ(+0100),22.919109344482422
44012,2024-02-28 12:06:17.972 MEZ(+0100),22.658561706542969
45012,2024-02-28 12:06:18.972 MEZ(+0100),22.551961898803711
46012,2024-02-28 12:06:19.972 MEZ(+0100),22.541357040405273
47013,2024-02-28 12:06:20.973 MEZ(+0100),22.540304183959961
48014,2024-02-28 12:06:21.974 MEZ(+0100),22.545871734619141
49015,2024-02-28 12:06:22.975 MEZ(+0100),22.498361587524414
50015,2024-02-28 12:06:23.975 MEZ(+0100),22.525802612304688
51015,2024-02-28 12:06:24.975 MEZ(+0100),22.802001953125
52015,2024-02-28 12:06:25.975 MEZ(+0100),23.395524978637695
53016,2024-02-28 12:06:26.976 MEZ(+0100),24.186281204223633
54016,2024-02-28 12:06:27.976 MEZ(+0100),24.042900085449219
55016,2024-02-28 12:06:28.976 MEZ(+0100),24.588766098022461
56016,2024-02-28 12:06:29.976 MEZ(+0100),25.086874008178711
57016,2024-02-28 12:06:30.976 MEZ(+0100),24.349123001098633
58017,2024-02-28 12:06:31.977 MEZ(+0100),25.386709213256836
59017,2024-02-28 12:06:32.977 MEZ(+0100),25.835666656494141
60017,2024-02-28 12:06:33.977 MEZ(+0100),26.031404495239258
61017,2024-02-28 12:06:34.977 MEZ(+0100),25.969961166381836
62018,2024-02-28 12:06:35.978 MEZ(+0100),25.395002365112305
63018,2024-02-28 12:06:36.978 MEZ(+0100),25.215473175048828
64018,2024-02-28 12:06:37.978 MEZ(+0100),25.591720581054688
65019,2024-02-28 12:06:38.979 MEZ(+0100),25.956672668457031
66019,2024-02-28 12:06:39.979 MEZ(+0100),25.794103622436523
67019,2024-02-28 12:06:40.979 MEZ(+0100),25.77796745300293
68019,2024-02-28 12:06:41.979 MEZ(+0100),25.107885360717773
69020,2024-02-28 12:06:42.980 MEZ(+0100),22.058977127075195
70020,2024-02-28 12:06:43.980 MEZ(+0100),21.011762619018555
71020,2024-02-28 12:06:44.980 MEZ(+0100),20.812559127807617
72020,2024-02-28 12:06:45.980 MEZ(+0100),20.499244689941406
73021,2024-02-28 12:06:46.981 MEZ(+0100),19.932817459106445
74021,2024-02-28 12:06:47.981 MEZ(+0100),19.922805786132812
75021,2024-02-28 12:06:48.981 MEZ(+0100),19.83409309387207
76022,2024-02-28 12:06:49.982 MEZ(+0100),18.85267448425293
77022,2024-02-28 12:06:50.982 MEZ(+0100),18.69495964050293
78022,2024-02-28 12:06:51.982 MEZ(+0100),18.689592361450195
79022,2024-02-28 12:06:52.982 MEZ(+0100),19.280111312866211
80023,2024-02-28 12:06:53.983 MEZ(+0100),19.768457412719727
81023,2024-02-28 12:06:54.983 MEZ(+0100),19.640249252319336
82023,2024-02-28 12:06:55.983 MEZ(+0100),19.749008178710938
83023,2024-02-28 12:06:56.983 MEZ(+0100),19.692224502563477
84023,2024-02-28 12:06:57.983 MEZ(+0100),18.773231506347656
85023,2024-02-28 12:06:58.983 MEZ(+0100),18.686098098754883
