t_delta,datetime,visibility
0,2024-02-28 14:58:42.503 MEZ(+0100),10.930910110473633
1000,2024-02-28 14:58:43.503 MEZ(+0100),10.915831565856934
2001,2024-02-28 14:58:44.504 MEZ(+0100),11.008861541748047
3002,2024-02-28 14:58:45.505 MEZ(+0100),11.092728614807129
4002,2024-02-28 14:58:46.505 MEZ(+0100),11.143342971801758
5002,2024-02-28 14:58:47.505 MEZ(+0100),11.315375328063965
6003,2024-02-28 14:58:48.506 MEZ(+0100),11.420868873596191
7003,2024-02-28 14:58:49.506 MEZ(+0100),11.489846229553223
8004,2024-02-28 14:58:50.507 MEZ(+0100),11.496803283691406
9005,2024-02-28 14:58:51.508 MEZ(+0100),11.750899314880371
10005,2024-02-28 14:58:52.508 MEZ(+0100),11.974344253540039
11006,2024-02-28 14:58:53.509 MEZ(+0100),11.997170448303223
12006,2024-02-28 14:58:54.509 MEZ(+0100),11.999458312988281
13007,2024-02-28 14:58:55.510 MEZ(+0100),11.687884330749512
14007,2024-02-28 14:58:56.510 MEZ(+0100),11.614466667175293
15007,2024-02-28 14:58:57.510 MEZ(+0100),11.61507511138916
16007,2024-02-28 14:58:58.510 MEZ(+0100),11.434008598327637
17007,2024-02-28 14:58:59.510 MEZ(+0100),11.363469123840332
18007,2024-02-28 14:59:00.510 MEZ(+0100),11.090606689453125
19007,2024-02-28 14:59:01.510 MEZ(+0100),11.030816078186035
20008,2024-02-28 14:59:02.511 MEZ(+0100),10.945480346679688
21008,2024-02-28 14:59:03.511 MEZ(+0100),10.706633567810059
22008,2024-02-28 14:59:04.511 MEZ(+0100),10.68697452545166
23008,2024-02-28 14:59:05.511 MEZ(+0100),10.907148361206055
24008,2024-02-28 14:59:06.511 MEZ(+0100),10.936014175415039
25008,2024-02-28 14:59:07.511 MEZ(+0100),10.57487678527832
26008,2024-02-28 14:59:08.511 MEZ(+0100),10.481960296630859
27008,2024-02-28 14:59:09.511 MEZ(+0100),10.467690467834473
28009,2024-02-28 14:59:10.512 MEZ(+0100),10.616061210632324
29010,2024-02-28 14:59:11.513 MEZ(+0100),10.849011421203613
30010,2024-02-28 14:59:12.513 MEZ(+0100),11.095749855041504
31010,2024-02-28 14:59:13.513 MEZ(+0100),11.518299102783203
32010,2024-02-28 14:59:14.513 MEZ(+0100),11.845667839050293
33010,2024-02-28 14:59:15.513 MEZ(+0100),12.02480411529541
34010,2024-02-28 14:59:16.513 MEZ(+0100),12.47752857208252
35010,2024-02-28 14:59:17.513 MEZ(+0100),12.578108787536621
36010,2024-02-28 14:59:18.513 MEZ(+0100),12.578108787536621
37011,2024-02-28 14:59:19.514 MEZ(+0100),12.599870681762695
38011,2024-02-28 14:59:20.514 MEZ(+0100),12.62744140625
39011,2024-02-28 14:59:21.514 MEZ(+0100),12.658937454223633
40011,2024-02-28 14:59:22.514 MEZ(+0100),13.105652809143066
41011,2024-02-28 14:59:23.514 MEZ(+0100),13.253665924072266
42011,2024-02-28 14:59:24.514 MEZ(+0100),13.324933052062988
43011,2024-02-28 14:59:25.514 MEZ(+0100),13.391421318054199
44011,2024-02-28 14:59:26.514 MEZ(+0100),13.524655342102051
45012,2024-02-28 14:59:27.515 MEZ(+0100),13.878902435302734
46012,2024-02-28 14:59:28.515 MEZ(+0100),14.30140209197998
47012,2024-02-28 14:59:29.515 MEZ(+0100),14.976819038391113
48013,2024-02-28 14:59:30.516 MEZ(+0100),15.559185981750488
49013,2024-02-28 14:59:31.516 MEZ(+0100),15.851222991943359
50014,2024-02-28 14:59:32.517 MEZ(+0100),16.126987457275391
51014,2024-02-28 14:59:33.517 MEZ(+0100),16.206232070922852
52015,2024-02-28 14:59:34.518 MEZ(+0100),16.214178085327148
53015,2024-02-28 14:59:35.518 MEZ(+0100),16.176069259643555
54015,2024-02-28 14:59:36.518 MEZ(+0100),16.160015106201172
55015,2024-02-28 14:59:37.518 MEZ(+0100),15.861520767211914
56016,2024-02-28 14:59:38.519 MEZ(+0100),15.579094886779785
57017,2024-02-28 14:59:39.520 MEZ(+0100),14.981532096862793
58017,2024-02-28 14:59:40.520 MEZ(+0100),14.818739891052246
59017,2024-02-28 14:59:41.520 MEZ(+0100),14.544459342956543
60018,2024-02-28 14:59:42.521 MEZ(+0100),14.510276794433594
61019,2024-02-28 14:59:43.522 MEZ(+0100),14.450272560119629
62019,2024-02-28 14:59:44.522 MEZ(+0100),14.384047508239746
63019,2024-02-28 14:59:45.522 MEZ(+0100),14.377459526062012
64019,2024-02-28 14:59:46.522 MEZ(+0100),14.41994571685791
65019,2024-02-28 14:59:47.522 MEZ(+0100),14.502785682678223
66019,2024-02-28 14:59:48.522 MEZ(+0100),14.598984718322754
67019,2024-02-28 14:59:49.522 MEZ(+0100),14.82172679901123
68020,2024-02-28 14:59:50.523 MEZ(+0100),15.129651069641113
69020,2024-02-28 14:59:51.523 MEZ(+0100),15.215771675109863
70020,2024-02-28 14:59:52.523 MEZ(+0100),15.370912551879883
71020,2024-02-28 14:59:53.523 MEZ(+0100),15.436226844787598
72020,2024-02-28 14:59:54.523 MEZ(+0100),15.468799591064453
73021,2024-02-28 14:59:55.524 MEZ(+0100),15.441405296325684
74021,2024-02-28 14:59:56.524 MEZ(+0100),15.364718437194824
75021,2024-02-28 14:59:57.524 MEZ(+0100),15.222528457641602
76021,2024-02-28 14:59:58.524 MEZ(+0100),15.308618545532227
77021,2024-02-28 14:59:59.524 MEZ(+0100),15.462431907653809
78021,2024-02-28 15:00:00.524 MEZ(+0100),15.520988464355469
