t_delta,datetime,visibility
0,2024-02-28 13:20:59.816 MEZ(+0100),9.2046499252319336
1000,2024-02-28 13:21:00.816 MEZ(+0100),9.1662378311157227
2000,2024-02-28 13:21:01.816 MEZ(+0100),9.1357793807983398
3001,2024-02-28 13:21:02.817 MEZ(+0100),9.1400814056396484
4001,2024-02-28 13:21:03.817 MEZ(+0100),9.1405115127563477
5001,2024-02-28 13:21:04.817 MEZ(+0100),9.1332168579101562
6001,2024-02-28 13:21:05.817 MEZ(+0100),9.1324930191040039
7001,2024-02-28 13:21:06.817 MEZ(+0100),9.1324214935302734
8001,2024-02-28 13:21:07.817 MEZ(+0100),9.1760520935058594
9001,2024-02-28 13:21:08.817 MEZ(+0100),9.1919994354248047
10001,2024-02-28 13:21:09.817 MEZ(+0100),9.1935977935791016
11001,2024-02-28 13:21:10.817 MEZ(+0100),9.2174320220947266
12001,2024-02-28 13:21:11.817 MEZ(+0100),9.2048521041870117
13002,2024-02-28 13:21:12.818 MEZ(+0100),9.1988801956176758
14002,2024-02-28 13:21:13.818 MEZ(+0100),8.7954139709472656
15002,2024-02-28 13:21:14.818 MEZ(+0100),8.7570362091064453
16002,2024-02-28 13:21:15.818 MEZ(+0100),8.912297248840332
17002,2024-02-28 13:21:16.818 MEZ(+0100),9.0661067962646484
18002,2024-02-28 13:21:17.818 MEZ(+0100),9.084467887878418
19002,2024-02-28 13:21:18.818 MEZ(+0100),9.0863142013549805
20002,2024-02-28 13:21:19.818 MEZ(+0100),9.0865039825439453
21002,2024-02-28 13:21:20.818 MEZ(+0100),9.0865135192871094
22003,2024-02-28 13:21:21.819 MEZ(+0100),9.2766742706298828
23003,2024-02-28 13:21:22.819 MEZ(+0100),9.358830451965332
24003,2024-02-28 13:21:23.819 MEZ(+0100),9.3811740875244141
25003,2024-02-28 13:21:24.819 MEZ(+0100),9.4735002517700195
26004,2024-02-28 13:21:25.820 MEZ(+0100),9.510833740234375
