t_delta,datetime,visibility
0,2024-05-29 09:19:51.987 MESZ(+0200),9.795842170715332
1001,2024-05-29 09:19:52.988 MESZ(+0200),9.7919883728027344
2001,2024-05-29 09:19:53.988 MESZ(+0200),9.8221244812011719
3001,2024-05-29 09:19:54.988 MESZ(+0200),9.7946109771728516
4001,2024-05-29 09:19:55.988 MESZ(+0200),9.773808479309082
5002,2024-05-29 09:19:56.989 MESZ(+0200),9.5505123138427734
6002,2024-05-29 09:19:57.989 MESZ(+0200),9.517695426940918
7002,2024-05-29 09:19:58.989 MESZ(+0200),9.5144367218017578
8002,2024-05-29 09:19:59.989 MESZ(+0200),9.4922866821289062
9002,2024-05-29 09:20:00.989 MESZ(+0200),9.4597377777099609
10002,2024-05-29 09:20:01.989 MESZ(+0200),9.4799489974975586
11003,2024-05-29 09:20:02.990 MESZ(+0200),9.4712619781494141
12004,2024-05-29 09:20:03.991 MESZ(+0200),9.4712619781494141
13004,2024-05-29 09:20:04.991 MESZ(+0200),9.5028657913208008
14004,2024-05-29 09:20:05.991 MESZ(+0200),9.5213279724121094
15004,2024-05-29 09:20:06.991 MESZ(+0200),9.5644741058349609
16004,2024-05-29 09:20:07.991 MESZ(+0200),9.6316804885864258
17004,2024-05-29 09:20:08.991 MESZ(+0200),9.6988630294799805
18005,2024-05-29 09:20:09.992 MESZ(+0200),9.610478401184082
19005,2024-05-29 09:20:10.992 MESZ(+0200),9.5985898971557617
20005,2024-05-29 09:20:11.992 MESZ(+0200),9.6014509201049805
21005,2024-05-29 09:20:12.992 MESZ(+0200),9.6553277969360352
22006,2024-05-29 09:20:13.993 MESZ(+0200),9.7153606414794922
23006,2024-05-29 09:20:14.993 MESZ(+0200),9.6388235092163086
24006,2024-05-29 09:20:15.993 MESZ(+0200),9.5738992691040039
25006,2024-05-29 09:20:16.993 MESZ(+0200),9.5714216232299805
26006,2024-05-29 09:20:17.993 MESZ(+0200),9.5672092437744141
27006,2024-05-29 09:20:18.993 MESZ(+0200),9.5193862915039062
28006,2024-05-29 09:20:19.993 MESZ(+0200),9.5601511001586914
29006,2024-05-29 09:20:20.993 MESZ(+0200),9.5642480850219727
30007,2024-05-29 09:20:21.994 MESZ(+0200),9.5723028182983398
31007,2024-05-29 09:20:22.994 MESZ(+0200),9.6127052307128906
32007,2024-05-29 09:20:23.994 MESZ(+0200),9.6593732833862305
33007,2024-05-29 09:20:24.994 MESZ(+0200),9.7601022720336914
34007,2024-05-29 09:20:25.994 MESZ(+0200),9.7773838043212891
35007,2024-05-29 09:20:26.994 MESZ(+0200),9.7566986083984375
36007,2024-05-29 09:20:27.994 MESZ(+0200),9.7770366668701172
37008,2024-05-29 09:20:28.995 MESZ(+0200),9.8065814971923828
38008,2024-05-29 09:20:29.995 MESZ(+0200),9.8367776870727539
39008,2024-05-29 09:20:30.995 MESZ(+0200),9.8738164901733398
40008,2024-05-29 09:20:31.995 MESZ(+0200),9.8860330581665039
41008,2024-05-29 09:20:32.995 MESZ(+0200),10.029463768005371
42009,2024-05-29 09:20:33.996 MESZ(+0200),10.053078651428223
43009,2024-05-29 09:20:34.996 MESZ(+0200),10.017899513244629
44010,2024-05-29 09:20:35.997 MESZ(+0200),10.211280822753906
45010,2024-05-29 09:20:36.997 MESZ(+0200),10.243388175964355
46010,2024-05-29 09:20:37.997 MESZ(+0200),10.19536018371582
47010,2024-05-29 09:20:38.997 MESZ(+0200),10.185336112976074
48010,2024-05-29 09:20:39.997 MESZ(+0200),10.11575984954834
49010,2024-05-29 09:20:40.997 MESZ(+0200),10.092899322509766
50010,2024-05-29 09:20:41.997 MESZ(+0200),10.134510040283203
51010,2024-05-29 09:20:42.997 MESZ(+0200),10.134510040283203
52010,2024-05-29 09:20:43.997 MESZ(+0200),10.152683258056641
53010,2024-05-29 09:20:44.997 MESZ(+0200),10.161230087280273
54010,2024-05-29 09:20:45.997 MESZ(+0200),10.232884407043457
55011,2024-05-29 09:20:46.998 MESZ(+0200),10.187787055969238
56011,2024-05-29 09:20:47.998 MESZ(+0200),10.161036491394043
57011,2024-05-29 09:20:48.998 MESZ(+0200),10.162784576416016
58012,2024-05-29 09:20:49.999 MESZ(+0200),10.155186653137207
59012,2024-05-29 09:20:50.999 MESZ(+0200),10.157055854797363
60012,2024-05-29 09:20:51.999 MESZ(+0200),10.157962799072266
61012,2024-05-29 09:20:52.999 MESZ(+0200),10.158050537109375
62013,2024-05-29 09:20:54.000 MESZ(+0200),10.140140533447266
63013,2024-05-29 09:20:55.000 MESZ(+0200),10.093008995056152
64013,2024-05-29 09:20:56.000 MESZ(+0200),10.122695922851562
65013,2024-05-29 09:20:57.000 MESZ(+0200),10.189455986022949
66013,2024-05-29 09:20:58.000 MESZ(+0200),10.329051971435547
67014,2024-05-29 09:20:59.001 MESZ(+0200),10.376659393310547
68014,2024-05-29 09:21:00.001 MESZ(+0200),10.97943115234375
69014,2024-05-29 09:21:01.001 MESZ(+0200),11.754457473754883
70014,2024-05-29 09:21:02.001 MESZ(+0200),12.016704559326172
71014,2024-05-29 09:21:03.001 MESZ(+0200),12.698003768920898
72014,2024-05-29 09:21:04.001 MESZ(+0200),13.43529224395752
73014,2024-05-29 09:21:05.001 MESZ(+0200),13.556735992431641
74015,2024-05-29 09:21:06.002 MESZ(+0200),13.627248764038086
75015,2024-05-29 09:21:07.002 MESZ(+0200),13.637208938598633
76015,2024-05-29 09:21:08.002 MESZ(+0200),13.644381523132324
77015,2024-05-29 09:21:09.002 MESZ(+0200),13.647952079772949
78015,2024-05-29 09:21:10.002 MESZ(+0200),14.534699440002441
79015,2024-05-29 09:21:11.002 MESZ(+0200),15.434970855712891
80015,2024-05-29 09:21:12.002 MESZ(+0200),15.61021614074707
81015,2024-05-29 09:21:13.002 MESZ(+0200),15.583597183227539
82015,2024-05-29 09:21:14.002 MESZ(+0200),15.644219398498535
83015,2024-05-29 09:21:15.002 MESZ(+0200),15.67877197265625
84016,2024-05-29 09:21:16.003 MESZ(+0200),15.6884765625
85016,2024-05-29 09:21:17.003 MESZ(+0200),15.689455986022949
86016,2024-05-29 09:21:18.003 MESZ(+0200),15.731446266174316
87016,2024-05-29 09:21:19.003 MESZ(+0200),15.735651016235352
88017,2024-05-29 09:21:20.004 MESZ(+0200),15.73607063293457
