t_delta,datetime,visibility
0,2024-02-28 14:10:36.976 MEZ(+0100),85.958663940429688
1000,2024-02-28 14:10:37.976 MEZ(+0100),96.443603515625
2000,2024-02-28 14:10:38.976 MEZ(+0100),105.48538208007812
3000,2024-02-28 14:10:39.976 MEZ(+0100),106.37596893310547
4001,2024-02-28 14:10:40.977 MEZ(+0100),106.46591949462891
5001,2024-02-28 14:10:41.977 MEZ(+0100),106.47484588623047
6002,2024-02-28 14:10:42.978 MEZ(+0100),106.47581481933594
7002,2024-02-28 14:10:43.978 MEZ(+0100),105.47399139404297
8003,2024-02-28 14:10:44.979 MEZ(+0100),102.84514617919922
9003,2024-02-28 14:10:45.979 MEZ(+0100),102.15274047851562
10003,2024-02-28 14:10:46.979 MEZ(+0100),102.15274047851562
11003,2024-02-28 14:10:47.979 MEZ(+0100),102.08406066894531
12003,2024-02-28 14:10:48.979 MEZ(+0100),102.07720947265625
13004,2024-02-28 14:10:49.980 MEZ(+0100),102.07645416259766
14004,2024-02-28 14:10:50.980 MEZ(+0100),103.46870422363281
15004,2024-02-28 14:10:51.980 MEZ(+0100),119.21605682373047
16004,2024-02-28 14:10:52.980 MEZ(+0100),131.20625305175781
17004,2024-02-28 14:10:53.980 MEZ(+0100),142.00624084472656
18005,2024-02-28 14:10:54.981 MEZ(+0100),143.97378540039062
19006,2024-02-28 14:10:55.982 MEZ(+0100),147.04830932617188
20006,2024-02-28 14:10:56.982 MEZ(+0100),147.56996154785156
21006,2024-02-28 14:10:57.982 MEZ(+0100),147.83821105957031
22006,2024-02-28 14:10:58.982 MEZ(+0100),148.68096923828125
23006,2024-02-28 14:10:59.982 MEZ(+0100),148.15084838867188
24006,2024-02-28 14:11:00.982 MEZ(+0100),147.16006469726562
25007,2024-02-28 14:11:01.983 MEZ(+0100),146.72415161132812
26007,2024-02-28 14:11:02.983 MEZ(+0100),144.99769592285156
27007,2024-02-28 14:11:03.983 MEZ(+0100),144.04574584960938
28008,2024-02-28 14:11:04.984 MEZ(+0100),139.91714477539062
29008,2024-02-28 14:11:05.984 MEZ(+0100),129.95185852050781
30009,2024-02-28 14:11:06.985 MEZ(+0100),43.767192840576172
31009,2024-02-28 14:11:07.985 MEZ(+0100),18.642221450805664
32009,2024-02-28 14:11:08.985 MEZ(+0100),14.776120185852051
33009,2024-02-28 14:11:09.985 MEZ(+0100),12.134420394897461
34010,2024-02-28 14:11:10.986 MEZ(+0100),10.566709518432617
35010,2024-02-28 14:11:11.986 MEZ(+0100),9.6742839813232422
36013,2024-02-28 14:11:12.989 MEZ(+0100),9.4813556671142578
37014,2024-02-28 14:11:13.990 MEZ(+0100),9.4624767303466797
